都道府県,米,食パン
全国,22473,10497
北海道,26176,9351
青森県,22001,9159
岩手県,23670,8671
宮城県,19877,10061
秋田県,19327,8095
山形県,26238,9009
福島県,26070,8795
茨城県,18487,9901
栃木県,18576,10350
群馬県,25268,9354
埼玉県,23813,10961
千葉県,21352,11330
東京都,20895,11842
神奈川県,22182,11334
新潟県,27341,10790
富山県,25505,12180
石川県,22879,11813
福井県,27653,9134
山梨県,23489,9082
長野県,23545,9562
岐阜県,23515,11286
静岡県,27812,10060
愛知県,23172,11848
三重県,19602,10115
滋賀県,21222,11653
京都府,23011,12327
大阪府,23094,12141
兵庫県,21908,14204
奈良県,20670,12280
和歌山県,23883,12010
鳥取県,17777,10986
島根県,19607,11697
岡山県,18105,10802
広島県,21049,11553
山口県,16322,10398
徳島県,20080,10698
香川県,16849,11703
愛媛県,17920,9069
高知県,19279,11843
福岡県,21080,9978
佐賀県,21754,8989
長崎県,25550,9796
熊本県,22938,8620
大分県,18780,8893
宮崎県,24318,8506
鹿児島県,24090,8913
沖縄県,26484,9204
